source,destination
61,162
51,105
57,155
15,30
4,9
52,113
54,141
25,50
65,171
5,10
55,148
12,25
68,176
64,169
22,44
11,23
29,59
50,100
13,26
19,39
53,126
52,115
3,6
18,37
36,73
55,150
62,165
2,4
20,40
9,19
26,53
10,20
43,87
6,13
53,128
69,179
27,54
16,33
34,69
52,117
54,136
55,143
37,74
0,0
63,166
23,47
41,83
60,160
44,88
67,175
7,14
53,130
70,180
54,138
30,61
48,97
56,153
14,28
32,64
21,43
1,3
58,156
42,84
53,123
39,78
28,57
46,93
51,107
54,140
65,170
49,98
12,24
35,71
61,163
19,38
53,125
54,133
51,109
5,11
68,177
26,52
33,67
59,159
17,34
50,101
53,127
34,68
51,102
54,135
40,81
3,7
51,111
66,173
52,119
24,48
55,145
41,82
47,95
10,21
67,174
31,62
53,129
38,77
51,104
54,137
57,154
48,96
4,8
37,75
52,112
52,121
55,147
21,42
1,2
45,91
8,17
64,168
71,183
11,22
29,58
44,89
53,122
28,56
46,92
51,106
54,139
15,31
52,114
18,36
36,72
25,51
32,65
55,149
62,164
35,70
9,18
42,85
22,45
53,124
43,86
6,12
39,79
54,132
13,27
51,108
69,178
16,32
49,99
52,116
55,142
33,66
55,151
2,5
20,41
59,158
23,46
54,134
40,80
51,110
27,55
66,172
52,118
30,60
55,144
0,1
56,152
47,94
63,167
17,35
38,76
60,161
51,103
7,15
53,131
70,181
52,120
24,49
55,146
45,90
8,16
14,29
71,182
58,157
31,63
