0:drive truck0 depot0 distributor0
1:drive truck0 distributor0 depot0
2:drive truck1 depot0 distributor0
3:drive truck1 distributor0 depot0
4:drive truck2 depot0 distributor0
5:drive truck2 distributor0 depot0
6:drop hoist0 crate0 crate1 depot0
7:drop hoist0 crate0 crate2 depot0
8:drop hoist0 crate0 crate3 depot0
9:drop hoist0 crate0 pallet0 depot0
10:drop hoist0 crate0 pallet2 depot0
11:drop hoist0 crate1 crate0 depot0
12:drop hoist0 crate1 crate2 depot0
13:drop hoist0 crate1 crate3 depot0
14:drop hoist0 crate1 pallet0 depot0
15:drop hoist0 crate1 pallet2 depot0
16:drop hoist0 crate2 crate0 depot0
17:drop hoist0 crate2 crate1 depot0
18:drop hoist0 crate2 crate3 depot0
19:drop hoist0 crate2 pallet0 depot0
20:drop hoist0 crate2 pallet2 depot0
21:drop hoist0 crate3 crate0 depot0
22:drop hoist0 crate3 crate1 depot0
23:drop hoist0 crate3 crate2 depot0
24:drop hoist0 crate3 pallet0 depot0
25:drop hoist0 crate3 pallet2 depot0
26:drop hoist1 crate0 crate1 distributor0
27:drop hoist1 crate0 crate2 distributor0
28:drop hoist1 crate0 crate3 distributor0
29:drop hoist1 crate0 pallet1 distributor0
30:drop hoist1 crate1 crate0 distributor0
31:drop hoist1 crate1 crate2 distributor0
32:drop hoist1 crate1 crate3 distributor0
33:drop hoist1 crate1 pallet1 distributor0
34:drop hoist1 crate2 crate0 distributor0
35:drop hoist1 crate2 crate1 distributor0
36:drop hoist1 crate2 crate3 distributor0
37:drop hoist1 crate2 pallet1 distributor0
38:drop hoist1 crate3 crate0 distributor0
39:drop hoist1 crate3 crate1 distributor0
40:drop hoist1 crate3 crate2 distributor0
41:drop hoist1 crate3 pallet1 distributor0
42:lift hoist0 crate0 crate1 depot0
43:lift hoist0 crate0 crate2 depot0
44:lift hoist0 crate0 crate3 depot0
45:lift hoist0 crate0 pallet0 depot0
46:lift hoist0 crate0 pallet1 depot0
47:lift hoist0 crate0 pallet2 depot0
48:lift hoist0 crate1 crate0 depot0
49:lift hoist0 crate1 crate2 depot0
50:lift hoist0 crate1 crate3 depot0
51:lift hoist0 crate1 pallet0 depot0
52:lift hoist0 crate1 pallet1 depot0
53:lift hoist0 crate1 pallet2 depot0
54:lift hoist0 crate2 crate0 depot0
55:lift hoist0 crate2 crate1 depot0
56:lift hoist0 crate2 crate3 depot0
57:lift hoist0 crate2 pallet0 depot0
58:lift hoist0 crate2 pallet1 depot0
59:lift hoist0 crate2 pallet2 depot0
60:lift hoist0 crate3 crate0 depot0
61:lift hoist0 crate3 crate1 depot0
62:lift hoist0 crate3 crate2 depot0
63:lift hoist0 crate3 pallet0 depot0
64:lift hoist0 crate3 pallet1 depot0
65:lift hoist0 crate3 pallet2 depot0
66:lift hoist1 crate0 crate1 distributor0
67:lift hoist1 crate0 crate2 distributor0
68:lift hoist1 crate0 crate3 distributor0
69:lift hoist1 crate0 pallet0 distributor0
70:lift hoist1 crate0 pallet1 distributor0
71:lift hoist1 crate0 pallet2 distributor0
72:lift hoist1 crate1 crate0 distributor0
73:lift hoist1 crate1 crate2 distributor0
74:lift hoist1 crate1 crate3 distributor0
75:lift hoist1 crate1 pallet0 distributor0
76:lift hoist1 crate1 pallet1 distributor0
77:lift hoist1 crate1 pallet2 distributor0
78:lift hoist1 crate2 crate0 distributor0
79:lift hoist1 crate2 crate1 distributor0
80:lift hoist1 crate2 crate3 distributor0
81:lift hoist1 crate2 pallet0 distributor0
82:lift hoist1 crate2 pallet1 distributor0
83:lift hoist1 crate2 pallet2 distributor0
84:lift hoist1 crate3 crate0 distributor0
85:lift hoist1 crate3 crate1 distributor0
86:lift hoist1 crate3 crate2 distributor0
87:lift hoist1 crate3 pallet0 distributor0
88:lift hoist1 crate3 pallet1 distributor0
89:lift hoist1 crate3 pallet2 distributor0
90:load hoist0 crate0 truck0 depot0
91:load hoist0 crate0 truck1 depot0
92:load hoist0 crate0 truck2 depot0
93:load hoist0 crate1 truck0 depot0
94:load hoist0 crate1 truck1 depot0
95:load hoist0 crate1 truck2 depot0
96:load hoist0 crate2 truck0 depot0
97:load hoist0 crate2 truck1 depot0
98:load hoist0 crate2 truck2 depot0
99:load hoist0 crate3 truck0 depot0
100:load hoist0 crate3 truck1 depot0
101:load hoist0 crate3 truck2 depot0
102:load hoist1 crate0 truck0 distributor0
103:load hoist1 crate0 truck1 distributor0
104:load hoist1 crate0 truck2 distributor0
105:load hoist1 crate1 truck0 distributor0
106:load hoist1 crate1 truck1 distributor0
107:load hoist1 crate1 truck2 distributor0
