source,destination
89,178
94,229
52,104
15,30
59,119
92,186
4,9
94,238
95,258
95,267
25,50
5,10
12,25
77,154
22,44
66,133
11,23
29,59
93,214
93,223
50,100
83,167
13,26
95,251
94,231
19,39
95,260
94,240
98,277
67,134
95,269
73,147
3,6
18,37
36,73
101,282
57,114
90,181
2,4
20,40
9,19
26,53
93,207
74,148
93,216
63,127
10,20
43,87
80,161
6,13
95,253
94,233
64,128
27,54
71,143
95,262
16,33
34,69
95,271
81,162
37,74
70,141
0,0
88,177
92,202
54,108
93,209
78,157
23,47
41,83
102,285
44,88
62,124
7,14
58,117
95,255
95,264
61,122
79,158
85,171
30,61
48,97
94,247
92,195
69,138
14,28
32,64
65,131
21,43
92,204
1,3
100,281
68,136
86,172
42,84
75,151
55,111
95,257
59,118
76,152
39,78
72,145
95,266
28,57
46,93
92,188
49,98
82,165
12,24
94,249
92,197
97,275
66,132
84,168
35,71
53,107
56,112
89,179
19,38
95,250
93,225
95,259
98,276
73,146
91,182
60,121
94,242
5,11
92,190
92,199
26,52
77,155
33,67
80,160
87,175
17,34
50,101
96,272
93,218
95,252
71,142
93,227
34,68
51,102
40,81
3,7
94,235
101,283
94,244
92,192
24,48
57,115
92,201
103,286
78,156
41,82
47,95
10,21
93,211
93,220
31,62
64,129
38,77
94,228
99,279
85,170
48,96
92,185
4,8
37,75
94,237
94,246
92,194
86,173
92,203
21,42
1,2
45,91
8,17
55,110
11,22
29,58
44,89
62,125
93,213
93,222
83,166
28,56
46,92
94,230
52,105
15,31
94,239
92,187
95,268
94,248
92,196
18,36
36,72
69,139
25,51
32,65
92,205
97,274
90,180
35,70
53,106
9,18
42,85
93,206
22,45
93,215
63,126
43,86
76,153
6,12
39,79
93,224
13,27
94,232
60,120
94,241
16,32
49,99
67,135
92,189
95,261
92,198
95,270
70,140
88,176
33,66
84,169
2,5
20,41
87,174
93,208
23,46
56,113
74,149
93,217
102,284
93,226
40,80
58,116
91,183
94,234
95,254
27,55
95,263
94,243
92,191
30,60
81,163
92,200
0,1
47,94
65,130
54,109
93,210
17,35
100,280
96,273
93,219
75,150
38,76
51,103
99,278
7,15
95,256
94,236
92,184
72,144
95,265
94,245
61,123
79,159
24,49
92,193
103,287
82,164
45,90
8,16
14,29
93,212
68,137
93,221
31,63
