0:clean-shaker left right shaker1
1:clean-shaker right left shaker1
2:clean-shot shot1 cocktail1 left right
3:clean-shot shot1 cocktail1 right left
4:clean-shot shot1 cocktail2 left right
5:clean-shot shot1 cocktail2 right left
6:clean-shot shot1 cocktail3 left right
7:clean-shot shot1 cocktail3 right left
8:clean-shot shot1 ingredient1 left right
9:clean-shot shot1 ingredient1 right left
10:clean-shot shot1 ingredient2 left right
11:clean-shot shot1 ingredient2 right left
12:clean-shot shot1 ingredient3 left right
13:clean-shot shot1 ingredient3 right left
14:clean-shot shot1 ingredient4 left right
15:clean-shot shot1 ingredient4 right left
16:clean-shot shot1 ingredient5 left right
17:clean-shot shot1 ingredient5 right left
18:clean-shot shot1 ingredient6 left right
19:clean-shot shot1 ingredient6 right left
20:clean-shot shot2 cocktail1 left right
21:clean-shot shot2 cocktail1 right left
22:clean-shot shot2 cocktail2 left right
23:clean-shot shot2 cocktail2 right left
24:clean-shot shot2 cocktail3 left right
25:clean-shot shot2 cocktail3 right left
26:clean-shot shot2 ingredient1 left right
27:clean-shot shot2 ingredient1 right left
28:clean-shot shot2 ingredient2 left right
29:clean-shot shot2 ingredient2 right left
30:clean-shot shot2 ingredient3 left right
31:clean-shot shot2 ingredient3 right left
32:clean-shot shot2 ingredient4 left right
33:clean-shot shot2 ingredient4 right left
34:clean-shot shot2 ingredient5 left right
35:clean-shot shot2 ingredient5 right left
36:clean-shot shot2 ingredient6 left right
37:clean-shot shot2 ingredient6 right left
38:clean-shot shot3 cocktail1 left right
39:clean-shot shot3 cocktail1 right left
40:clean-shot shot3 cocktail2 left right
41:clean-shot shot3 cocktail2 right left
42:clean-shot shot3 cocktail3 left right
43:clean-shot shot3 cocktail3 right left
44:clean-shot shot3 ingredient1 left right
45:clean-shot shot3 ingredient1 right left
46:clean-shot shot3 ingredient2 left right
47:clean-shot shot3 ingredient2 right left
48:clean-shot shot3 ingredient3 left right
49:clean-shot shot3 ingredient3 right left
50:clean-shot shot3 ingredient4 left right
51:clean-shot shot3 ingredient4 right left
52:clean-shot shot3 ingredient5 left right
53:clean-shot shot3 ingredient5 right left
54:clean-shot shot3 ingredient6 left right
55:clean-shot shot3 ingredient6 right left
56:clean-shot shot4 cocktail1 left right
57:clean-shot shot4 cocktail1 right left
58:clean-shot shot4 cocktail2 left right
59:clean-shot shot4 cocktail2 right left
60:clean-shot shot4 cocktail3 left right
61:clean-shot shot4 cocktail3 right left
62:clean-shot shot4 ingredient1 left right
63:clean-shot shot4 ingredient1 right left
64:clean-shot shot4 ingredient2 left right
65:clean-shot shot4 ingredient2 right left
66:clean-shot shot4 ingredient3 left right
67:clean-shot shot4 ingredient3 right left
68:clean-shot shot4 ingredient4 left right
69:clean-shot shot4 ingredient4 right left
70:clean-shot shot4 ingredient5 left right
71:clean-shot shot4 ingredient5 right left
72:clean-shot shot4 ingredient6 left right
73:clean-shot shot4 ingredient6 right left
74:clean-shot shot5 cocktail1 left right
75:clean-shot shot5 cocktail1 right left
76:clean-shot shot5 cocktail2 left right
77:clean-shot shot5 cocktail2 right left
78:clean-shot shot5 cocktail3 left right
79:clean-shot shot5 cocktail3 right left
80:clean-shot shot5 ingredient1 left right
81:clean-shot shot5 ingredient1 right left
82:clean-shot shot5 ingredient2 left right
83:clean-shot shot5 ingredient2 right left
84:clean-shot shot5 ingredient3 left right
85:clean-shot shot5 ingredient3 right left
86:clean-shot shot5 ingredient4 left right
87:clean-shot shot5 ingredient4 right left
88:clean-shot shot5 ingredient5 left right
89:clean-shot shot5 ingredient5 right left
90:clean-shot shot5 ingredient6 left right
91:clean-shot shot5 ingredient6 right left
92:clean-shot shot6 cocktail1 left right
93:clean-shot shot6 cocktail1 right left
94:clean-shot shot6 cocktail2 left right
95:clean-shot shot6 cocktail2 right left
96:clean-shot shot6 cocktail3 left right
97:clean-shot shot6 cocktail3 right left
98:clean-shot shot6 ingredient1 left right
99:clean-shot shot6 ingredient1 right left
100:clean-shot shot6 ingredient2 left right
101:clean-shot shot6 ingredient2 right left
102:clean-shot shot6 ingredient3 left right
103:clean-shot shot6 ingredient3 right left
104:clean-shot shot6 ingredient4 left right
105:clean-shot shot6 ingredient4 right left
106:clean-shot shot6 ingredient5 left right
107:clean-shot shot6 ingredient5 right left
108:clean-shot shot6 ingredient6 left right
109:clean-shot shot6 ingredient6 right left
110:empty-shaker left shaker1 cocktail1 l0 l0
111:empty-shaker left shaker1 cocktail1 l1 l0
112:empty-shaker left shaker1 cocktail1 l2 l0
113:empty-shaker left shaker1 cocktail2 l0 l0
114:empty-shaker left shaker1 cocktail2 l1 l0
115:empty-shaker left shaker1 cocktail2 l2 l0
116:empty-shaker left shaker1 cocktail3 l0 l0
117:empty-shaker left shaker1 cocktail3 l1 l0
118:empty-shaker left shaker1 cocktail3 l2 l0
119:empty-shaker right shaker1 cocktail1 l0 l0
120:empty-shaker right shaker1 cocktail1 l1 l0
121:empty-shaker right shaker1 cocktail1 l2 l0
122:empty-shaker right shaker1 cocktail2 l0 l0
123:empty-shaker right shaker1 cocktail2 l1 l0
124:empty-shaker right shaker1 cocktail2 l2 l0
125:empty-shaker right shaker1 cocktail3 l0 l0
126:empty-shaker right shaker1 cocktail3 l1 l0
127:empty-shaker right shaker1 cocktail3 l2 l0
128:empty-shot left shot1 cocktail1
129:empty-shot left shot1 cocktail2
130:empty-shot left shot1 cocktail3
131:empty-shot left shot1 ingredient1
132:empty-shot left shot1 ingredient2
133:empty-shot left shot1 ingredient3
134:empty-shot left shot1 ingredient4
135:empty-shot left shot1 ingredient5
136:empty-shot left shot1 ingredient6
137:empty-shot left shot2 cocktail1
138:empty-shot left shot2 cocktail2
139:empty-shot left shot2 cocktail3
140:empty-shot left shot2 ingredient1
141:empty-shot left shot2 ingredient2
142:empty-shot left shot2 ingredient3
143:empty-shot left shot2 ingredient4
144:empty-shot left shot2 ingredient5
145:empty-shot left shot2 ingredient6
146:empty-shot left shot3 cocktail1
147:empty-shot left shot3 cocktail2
148:empty-shot left shot3 cocktail3
149:empty-shot left shot3 ingredient1
150:empty-shot left shot3 ingredient2
151:empty-shot left shot3 ingredient3
152:empty-shot left shot3 ingredient4
153:empty-shot left shot3 ingredient5
154:empty-shot left shot3 ingredient6
155:empty-shot left shot4 cocktail1
156:empty-shot left shot4 cocktail2
157:empty-shot left shot4 cocktail3
158:empty-shot left shot4 ingredient1
159:empty-shot left shot4 ingredient2
160:empty-shot left shot4 ingredient3
161:empty-shot left shot4 ingredient4
162:empty-shot left shot4 ingredient5
163:empty-shot left shot4 ingredient6
164:empty-shot left shot5 cocktail1
165:empty-shot left shot5 cocktail2
166:empty-shot left shot5 cocktail3
167:empty-shot left shot5 ingredient1
168:empty-shot left shot5 ingredient2
169:empty-shot left shot5 ingredient3
170:empty-shot left shot5 ingredient4
171:empty-shot left shot5 ingredient5
172:empty-shot left shot5 ingredient6
173:empty-shot left shot6 cocktail1
174:empty-shot left shot6 cocktail2
175:empty-shot left shot6 cocktail3
176:empty-shot left shot6 ingredient1
177:empty-shot left shot6 ingredient2
178:empty-shot left shot6 ingredient3
179:empty-shot left shot6 ingredient4
180:empty-shot left shot6 ingredient5
181:empty-shot left shot6 ingredient6
182:empty-shot right shot1 cocktail1
183:empty-shot right shot1 cocktail2
184:empty-shot right shot1 cocktail3
185:empty-shot right shot1 ingredient1
186:empty-shot right shot1 ingredient2
187:empty-shot right shot1 ingredient3
188:empty-shot right shot1 ingredient4
189:empty-shot right shot1 ingredient5
190:empty-shot right shot1 ingredient6
191:empty-shot right shot2 cocktail1
192:empty-shot right shot2 cocktail2
193:empty-shot right shot2 cocktail3
194:empty-shot right shot2 ingredient1
195:empty-shot right shot2 ingredient2
196:empty-shot right shot2 ingredient3
197:empty-shot right shot2 ingredient4
198:empty-shot right shot2 ingredient5
199:empty-shot right shot2 ingredient6
200:empty-shot right shot3 cocktail1
201:empty-shot right shot3 cocktail2
202:empty-shot right shot3 cocktail3
203:empty-shot right shot3 ingredient1
204:empty-shot right shot3 ingredient2
205:empty-shot right shot3 ingredient3
206:empty-shot right shot3 ingredient4
207:empty-shot right shot3 ingredient5
208:empty-shot right shot3 ingredient6
209:empty-shot right shot4 cocktail1
210:empty-shot right shot4 cocktail2
211:empty-shot right shot4 cocktail3
212:empty-shot right shot4 ingredient1
213:empty-shot right shot4 ingredient2
214:empty-shot right shot4 ingredient3
215:empty-shot right shot4 ingredient4
216:empty-shot right shot4 ingredient5
217:empty-shot right shot4 ingredient6
218:empty-shot right shot5 cocktail1
