0:clean-shaker left right shaker1
1:clean-shaker right left shaker1
2:clean-shot shot1 cocktail1 left right
3:clean-shot shot1 cocktail1 right left
4:clean-shot shot1 cocktail2 left right
5:clean-shot shot1 cocktail2 right left
6:clean-shot shot1 ingredient1 left right
7:clean-shot shot1 ingredient1 right left
8:clean-shot shot1 ingredient2 left right
9:clean-shot shot1 ingredient2 right left
10:clean-shot shot2 cocktail1 left right
11:clean-shot shot2 cocktail1 right left
12:clean-shot shot2 cocktail2 left right
13:clean-shot shot2 cocktail2 right left
14:clean-shot shot2 ingredient1 left right
15:clean-shot shot2 ingredient1 right left
16:clean-shot shot2 ingredient2 left right
17:clean-shot shot2 ingredient2 right left
18:empty-shaker left shaker1 cocktail1 l0 l0
19:empty-shaker left shaker1 cocktail1 l1 l0
20:empty-shaker left shaker1 cocktail1 l2 l0
21:empty-shaker left shaker1 cocktail2 l0 l0
22:empty-shaker left shaker1 cocktail2 l1 l0
23:empty-shaker left shaker1 cocktail2 l2 l0
24:empty-shaker right shaker1 cocktail1 l0 l0
25:empty-shaker right shaker1 cocktail1 l1 l0
26:empty-shaker right shaker1 cocktail1 l2 l0
27:empty-shaker right shaker1 cocktail2 l0 l0
28:empty-shaker right shaker1 cocktail2 l1 l0
29:empty-shaker right shaker1 cocktail2 l2 l0
30:empty-shot left shot1 cocktail1
31:empty-shot left shot1 cocktail2
32:empty-shot left shot1 ingredient1
33:empty-shot left shot1 ingredient2
34:empty-shot left shot2 cocktail1
35:empty-shot left shot2 cocktail2
36:empty-shot left shot2 ingredient1
37:empty-shot left shot2 ingredient2
38:empty-shot right shot1 cocktail1
39:empty-shot right shot1 cocktail2
40:empty-shot right shot1 ingredient1
41:empty-shot right shot1 ingredient2
42:empty-shot right shot2 cocktail1
43:empty-shot right shot2 cocktail2
44:empty-shot right shot2 ingredient1
45:empty-shot right shot2 ingredient2
46:fill-shot shot1 ingredient1 left right dispenser1
47:fill-shot shot1 ingredient1 right left dispenser1
48:fill-shot shot1 ingredient2 left right dispenser2
49:fill-shot shot1 ingredient2 right left dispenser2
50:fill-shot shot2 ingredient1 left right dispenser1
51:fill-shot shot2 ingredient1 right left dispenser1
52:fill-shot shot2 ingredient2 left right dispenser2
53:fill-shot shot2 ingredient2 right left dispenser2
54:grasp left shaker1
55:grasp left shot1
56:grasp left shot2
57:grasp right shaker1
58:grasp right shot1
59:grasp right shot2
60:leave left shaker1
61:leave left shot1
62:leave left shot2
63:leave right shaker1
64:leave right shot1
65:leave right shot2
66:pour-shaker-to-shot cocktail1 shot1 left shaker1 l1 l0
67:pour-shaker-to-shot cocktail1 shot1 left shaker1 l2 l1
68:pour-shaker-to-shot cocktail1 shot1 right shaker1 l1 l0
69:pour-shaker-to-shot cocktail1 shot1 right shaker1 l2 l1
70:pour-shaker-to-shot cocktail1 shot2 left shaker1 l1 l0
71:pour-shaker-to-shot cocktail1 shot2 left shaker1 l2 l1
72:pour-shaker-to-shot cocktail1 shot2 right shaker1 l1 l0
73:pour-shaker-to-shot cocktail1 shot2 right shaker1 l2 l1
74:pour-shaker-to-shot cocktail2 shot1 left shaker1 l1 l0
75:pour-shaker-to-shot cocktail2 shot1 left shaker1 l2 l1
76:pour-shaker-to-shot cocktail2 shot1 right shaker1 l1 l0
77:pour-shaker-to-shot cocktail2 shot1 right shaker1 l2 l1
78:pour-shaker-to-shot cocktail2 shot2 left shaker1 l1 l0
79:pour-shaker-to-shot cocktail2 shot2 left shaker1 l2 l1
80:pour-shaker-to-shot cocktail2 shot2 right shaker1 l1 l0
81:pour-shaker-to-shot cocktail2 shot2 right shaker1 l2 l1
82:pour-shaker-to-shot ingredient1 shot1 left shaker1 l1 l0
83:pour-shaker-to-shot ingredient1 shot1 left shaker1 l2 l1
84:pour-shaker-to-shot ingredient1 shot1 right shaker1 l1 l0
85:pour-shaker-to-shot ingredient1 shot1 right shaker1 l2 l1
86:pour-shaker-to-shot ingredient1 shot2 left shaker1 l1 l0
87:pour-shaker-to-shot ingredient1 shot2 left shaker1 l2 l1
88:pour-shaker-to-shot ingredient1 shot2 right shaker1 l1 l0
89:pour-shaker-to-shot ingredient1 shot2 right shaker1 l2 l1
90:pour-shaker-to-shot ingredient2 shot1 left shaker1 l1 l0
91:pour-shaker-to-shot ingredient2 shot1 left shaker1 l2 l1
92:pour-shaker-to-shot ingredient2 shot1 right shaker1 l1 l0
93:pour-shaker-to-shot ingredient2 shot1 right shaker1 l2 l1
94:pour-shaker-to-shot ingredient2 shot2 left shaker1 l1 l0
95:pour-shaker-to-shot ingredient2 shot2 left shaker1 l2 l1
96:pour-shaker-to-shot ingredient2 shot2 right shaker1 l1 l0
97:pour-shaker-to-shot ingredient2 shot2 right shaker1 l2 l1
98:pour-shot-to-clean-shaker shot1 ingredient1 shaker1 left l0 l1
99:pour-shot-to-clean-shaker shot1 ingredient1 shaker1 left l1 l2
100:pour-shot-to-clean-shaker shot1 ingredient1 shaker1 right l0 l1
