0:drive truck0 depot0 distributor0
1:drive truck0 distributor0 depot0
2:drive truck1 depot0 distributor0
3:drive truck1 distributor0 depot0
4:drop hoist0 crate0 crate1 depot0
5:drop hoist0 crate0 crate2 depot0
6:drop hoist0 crate0 pallet0 depot0
7:drop hoist0 crate0 pallet2 depot0
8:drop hoist0 crate1 crate0 depot0
9:drop hoist0 crate1 crate2 depot0
10:drop hoist0 crate1 pallet0 depot0
11:drop hoist0 crate1 pallet2 depot0
12:drop hoist0 crate2 crate0 depot0
13:drop hoist0 crate2 crate1 depot0
14:drop hoist0 crate2 pallet0 depot0
15:drop hoist0 crate2 pallet2 depot0
16:drop hoist1 crate0 crate1 distributor0
17:drop hoist1 crate0 crate2 distributor0
18:drop hoist1 crate0 pallet1 distributor0
19:drop hoist1 crate1 crate0 distributor0
20:drop hoist1 crate1 crate2 distributor0
21:drop hoist1 crate1 pallet1 distributor0
22:drop hoist1 crate2 crate0 distributor0
23:drop hoist1 crate2 crate1 distributor0
24:drop hoist1 crate2 pallet1 distributor0
25:drop hoist2 crate0 crate1 depot0
26:drop hoist2 crate0 crate2 depot0
27:drop hoist2 crate0 pallet0 depot0
28:drop hoist2 crate0 pallet2 depot0
29:drop hoist2 crate1 crate0 depot0
30:drop hoist2 crate1 crate2 depot0
31:drop hoist2 crate1 pallet0 depot0
32:drop hoist2 crate1 pallet2 depot0
33:drop hoist2 crate2 crate0 depot0
34:drop hoist2 crate2 crate1 depot0
35:drop hoist2 crate2 pallet0 depot0
36:drop hoist2 crate2 pallet2 depot0
37:lift hoist0 crate0 crate1 depot0
38:lift hoist0 crate0 crate2 depot0
39:lift hoist0 crate0 pallet0 depot0
40:lift hoist0 crate0 pallet1 depot0
41:lift hoist0 crate0 pallet2 depot0
42:lift hoist0 crate1 crate0 depot0
43:lift hoist0 crate1 crate2 depot0
44:lift hoist0 crate1 pallet0 depot0
45:lift hoist0 crate1 pallet1 depot0
46:lift hoist0 crate1 pallet2 depot0
47:lift hoist0 crate2 crate0 depot0
48:lift hoist0 crate2 crate1 depot0
49:lift hoist0 crate2 pallet0 depot0
50:lift hoist0 crate2 pallet1 depot0
51:lift hoist0 crate2 pallet2 depot0
52:lift hoist1 crate0 crate1 distributor0
53:lift hoist1 crate0 crate2 distributor0
54:lift hoist1 crate0 pallet0 distributor0
55:lift hoist1 crate0 pallet1 distributor0
56:lift hoist1 crate0 pallet2 distributor0
57:lift hoist1 crate1 crate0 distributor0
58:lift hoist1 crate1 crate2 distributor0
59:lift hoist1 crate1 pallet0 distributor0
60:lift hoist1 crate1 pallet1 distributor0
61:lift hoist1 crate1 pallet2 distributor0
62:lift hoist1 crate2 crate0 distributor0
63:lift hoist1 crate2 crate1 distributor0
64:lift hoist1 crate2 pallet0 distributor0
65:lift hoist1 crate2 pallet1 distributor0
66:lift hoist1 crate2 pallet2 distributor0
67:lift hoist2 crate0 crate1 depot0
68:lift hoist2 crate0 crate2 depot0
69:lift hoist2 crate0 pallet0 depot0
70:lift hoist2 crate0 pallet1 depot0
71:lift hoist2 crate0 pallet2 depot0
72:lift hoist2 crate1 crate0 depot0
73:lift hoist2 crate1 crate2 depot0
74:lift hoist2 crate1 pallet0 depot0
75:lift hoist2 crate1 pallet1 depot0
76:lift hoist2 crate1 pallet2 depot0
77:lift hoist2 crate2 crate0 depot0
78:lift hoist2 crate2 crate1 depot0
79:lift hoist2 crate2 pallet0 depot0
80:lift hoist2 crate2 pallet1 depot0
81:lift hoist2 crate2 pallet2 depot0
82:load hoist0 crate0 truck0 depot0
83:load hoist0 crate0 truck1 depot0
84:load hoist0 crate1 truck0 depot0
85:load hoist0 crate1 truck1 depot0
86:load hoist0 crate2 truck0 depot0
87:load hoist0 crate2 truck1 depot0
88:load hoist1 crate0 truck0 distributor0
89:load hoist1 crate0 truck1 distributor0
90:load hoist1 crate1 truck0 distributor0
91:load hoist1 crate1 truck1 distributor0
92:load hoist1 crate2 truck0 distributor0
93:load hoist1 crate2 truck1 distributor0
94:load hoist2 crate0 truck0 depot0
95:load hoist2 crate0 truck1 depot0
96:load hoist2 crate1 truck0 depot0
97:load hoist2 crate1 truck1 depot0
98:load hoist2 crate2 truck0 depot0
99:load hoist2 crate2 truck1 depot0
100:unload hoist0 crate0 truck0 depot0
101:unload hoist0 crate0 truck1 depot0
102:unload hoist0 crate1 truck0 depot0
103:unload hoist0 crate1 truck1 depot0
104:unload hoist0 crate2 truck0 depot0
105:unload hoist0 crate2 truck1 depot0
106:unload hoist1 crate0 truck0 distributor0
107:unload hoist1 crate0 truck1 distributor0
108:unload hoist1 crate1 truck0 distributor0
109:unload hoist1 crate1 truck1 distributor0
110:unload hoist1 crate2 truck0 distributor0
111:unload hoist1 crate2 truck1 distributor0
112:unload hoist2 crate0 truck0 depot0
113:unload hoist2 crate0 truck1 depot0
114:unload hoist2 crate1 truck0 depot0
115:unload hoist2 crate1 truck1 depot0
116:unload hoist2 crate2 truck0 depot0
117:unload hoist2 crate2 truck1 depot0
