0:calibrate rover0 camera0 objective0 waypoint0
1:calibrate rover0 camera0 objective0 waypoint2
2:calibrate rover0 camera2 objective0 waypoint0
3:calibrate rover0 camera2 objective0 waypoint2
4:calibrate rover0 camera4 objective2 waypoint0
5:calibrate rover0 camera4 objective2 waypoint2
6:calibrate rover1 camera1 objective0 waypoint0
7:calibrate rover1 camera1 objective0 waypoint2
8:calibrate rover1 camera3 objective0 waypoint0
9:calibrate rover1 camera3 objective0 waypoint2
10:communicate_image_data rover0 general objective0 colour waypoint1 waypoint0
11:communicate_image_data rover0 general objective0 colour waypoint2 waypoint0
12:communicate_image_data rover0 general objective0 low_res waypoint1 waypoint0
13:communicate_image_data rover0 general objective0 low_res waypoint2 waypoint0
14:communicate_image_data rover0 general objective1 colour waypoint1 waypoint0
15:communicate_image_data rover0 general objective1 colour waypoint2 waypoint0
16:communicate_image_data rover0 general objective1 low_res waypoint1 waypoint0
17:communicate_image_data rover0 general objective1 low_res waypoint2 waypoint0
18:communicate_image_data rover0 general objective2 colour waypoint1 waypoint0
19:communicate_image_data rover0 general objective2 colour waypoint2 waypoint0
20:communicate_image_data rover0 general objective2 low_res waypoint1 waypoint0
21:communicate_image_data rover0 general objective2 low_res waypoint2 waypoint0
22:communicate_image_data rover1 general objective0 low_res waypoint1 waypoint0
23:communicate_image_data rover1 general objective0 low_res waypoint2 waypoint0
24:communicate_image_data rover1 general objective1 low_res waypoint1 waypoint0
25:communicate_image_data rover1 general objective1 low_res waypoint2 waypoint0
26:communicate_image_data rover1 general objective2 low_res waypoint1 waypoint0
27:communicate_image_data rover1 general objective2 low_res waypoint2 waypoint0
28:communicate_rock_data rover1 general waypoint0 waypoint1 waypoint0
29:communicate_rock_data rover1 general waypoint0 waypoint2 waypoint0
30:communicate_rock_data rover1 general waypoint1 waypoint1 waypoint0
31:communicate_rock_data rover1 general waypoint1 waypoint2 waypoint0
32:communicate_soil_data rover0 general waypoint0 waypoint1 waypoint0
33:communicate_soil_data rover0 general waypoint0 waypoint2 waypoint0
34:communicate_soil_data rover0 general waypoint1 waypoint1 waypoint0
35:communicate_soil_data rover0 general waypoint1 waypoint2 waypoint0
36:communicate_soil_data rover0 general waypoint2 waypoint1 waypoint0
37:communicate_soil_data rover0 general waypoint2 waypoint2 waypoint0
38:communicate_soil_data rover1 general waypoint0 waypoint1 waypoint0
39:communicate_soil_data rover1 general waypoint0 waypoint2 waypoint0
40:communicate_soil_data rover1 general waypoint1 waypoint1 waypoint0
41:communicate_soil_data rover1 general waypoint1 waypoint2 waypoint0
42:communicate_soil_data rover1 general waypoint2 waypoint1 waypoint0
43:communicate_soil_data rover1 general waypoint2 waypoint2 waypoint0
44:drop rover0 rover0store
45:drop rover1 rover1store
46:navigate rover0 waypoint0 waypoint1
47:navigate rover0 waypoint0 waypoint2
48:navigate rover0 waypoint1 waypoint0
49:navigate rover0 waypoint2 waypoint0
50:navigate rover1 waypoint0 waypoint1
51:navigate rover1 waypoint0 waypoint2
52:navigate rover1 waypoint1 waypoint0
53:navigate rover1 waypoint2 waypoint0
54:sample_rock rover1 rover1store waypoint0
55:sample_rock rover1 rover1store waypoint1
56:sample_soil rover0 rover0store waypoint0
57:sample_soil rover0 rover0store waypoint1
58:sample_soil rover0 rover0store waypoint2
59:sample_soil rover1 rover1store waypoint0
60:sample_soil rover1 rover1store waypoint1
61:sample_soil rover1 rover1store waypoint2
62:take_image rover0 waypoint0 objective0 camera0 colour
63:take_image rover0 waypoint0 objective0 camera2 colour
64:take_image rover0 waypoint0 objective0 camera2 low_res
65:take_image rover0 waypoint0 objective0 camera4 colour
66:take_image rover0 waypoint0 objective2 camera0 colour
67:take_image rover0 waypoint0 objective2 camera2 colour
68:take_image rover0 waypoint0 objective2 camera2 low_res
69:take_image rover0 waypoint0 objective2 camera4 colour
70:take_image rover0 waypoint1 objective1 camera0 colour
71:take_image rover0 waypoint1 objective1 camera2 colour
72:take_image rover0 waypoint1 objective1 camera2 low_res
73:take_image rover0 waypoint1 objective1 camera4 colour
74:take_image rover0 waypoint2 objective0 camera0 colour
75:take_image rover0 waypoint2 objective0 camera2 colour
76:take_image rover0 waypoint2 objective0 camera2 low_res
77:take_image rover0 waypoint2 objective0 camera4 colour
78:take_image rover0 waypoint2 objective1 camera0 colour
79:take_image rover0 waypoint2 objective1 camera2 colour
80:take_image rover0 waypoint2 objective1 camera2 low_res
81:take_image rover0 waypoint2 objective1 camera4 colour
82:take_image rover0 waypoint2 objective2 camera0 colour
83:take_image rover0 waypoint2 objective2 camera2 colour
84:take_image rover0 waypoint2 objective2 camera2 low_res
85:take_image rover0 waypoint2 objective2 camera4 colour
86:take_image rover1 waypoint0 objective0 camera1 low_res
87:take_image rover1 waypoint0 objective0 camera3 low_res
88:take_image rover1 waypoint0 objective2 camera1 low_res
89:take_image rover1 waypoint0 objective2 camera3 low_res
90:take_image rover1 waypoint1 objective1 camera1 low_res
91:take_image rover1 waypoint1 objective1 camera3 low_res
92:take_image rover1 waypoint2 objective0 camera1 low_res
93:take_image rover1 waypoint2 objective0 camera3 low_res
94:take_image rover1 waypoint2 objective1 camera1 low_res
95:take_image rover1 waypoint2 objective1 camera3 low_res
96:take_image rover1 waypoint2 objective2 camera1 low_res
97:take_image rover1 waypoint2 objective2 camera3 low_res
