0:drive truck0 depot0 depot1
1:drive truck0 depot0 distributor0
2:drive truck0 depot0 distributor1
3:drive truck0 depot1 depot0
4:drive truck0 depot1 distributor0
5:drive truck0 depot1 distributor1
6:drive truck0 distributor0 depot0
7:drive truck0 distributor0 depot1
8:drive truck0 distributor0 distributor1
9:drive truck0 distributor1 depot0
10:drive truck0 distributor1 depot1
11:drive truck0 distributor1 distributor0
12:drive truck1 depot0 depot1
13:drive truck1 depot0 distributor0
14:drive truck1 depot0 distributor1
15:drive truck1 depot1 depot0
16:drive truck1 depot1 distributor0
17:drive truck1 depot1 distributor1
18:drive truck1 distributor0 depot0
19:drive truck1 distributor0 depot1
20:drive truck1 distributor0 distributor1
21:drive truck1 distributor1 depot0
22:drive truck1 distributor1 depot1
23:drive truck1 distributor1 distributor0
24:drop hoist0 crate0 crate1 depot0
25:drop hoist0 crate0 crate2 depot0
26:drop hoist0 crate0 crate3 depot0
27:drop hoist0 crate0 crate4 depot0
28:drop hoist0 crate0 pallet0 depot0
29:drop hoist0 crate1 crate0 depot0
30:drop hoist0 crate1 crate2 depot0
31:drop hoist0 crate1 crate3 depot0
32:drop hoist0 crate1 crate4 depot0
33:drop hoist0 crate1 pallet0 depot0
34:drop hoist0 crate2 crate0 depot0
35:drop hoist0 crate2 crate1 depot0
36:drop hoist0 crate2 crate3 depot0
37:drop hoist0 crate2 crate4 depot0
38:drop hoist0 crate2 pallet0 depot0
39:drop hoist0 crate3 crate0 depot0
40:drop hoist0 crate3 crate1 depot0
41:drop hoist0 crate3 crate2 depot0
42:drop hoist0 crate3 crate4 depot0
43:drop hoist0 crate3 pallet0 depot0
44:drop hoist0 crate4 crate0 depot0
45:drop hoist0 crate4 crate1 depot0
46:drop hoist0 crate4 crate2 depot0
47:drop hoist0 crate4 crate3 depot0
48:drop hoist0 crate4 pallet0 depot0
49:drop hoist1 crate0 crate1 depot1
50:drop hoist1 crate0 crate2 depot1
51:drop hoist1 crate0 crate3 depot1
52:drop hoist1 crate0 crate4 depot1
53:drop hoist1 crate0 pallet1 depot1
54:drop hoist1 crate1 crate0 depot1
55:drop hoist1 crate1 crate2 depot1
56:drop hoist1 crate1 crate3 depot1
57:drop hoist1 crate1 crate4 depot1
58:drop hoist1 crate1 pallet1 depot1
59:drop hoist1 crate2 crate0 depot1
60:drop hoist1 crate2 crate1 depot1
61:drop hoist1 crate2 crate3 depot1
62:drop hoist1 crate2 crate4 depot1
63:drop hoist1 crate2 pallet1 depot1
64:drop hoist1 crate3 crate0 depot1
65:drop hoist1 crate3 crate1 depot1
66:drop hoist1 crate3 crate2 depot1
67:drop hoist1 crate3 crate4 depot1
68:drop hoist1 crate3 pallet1 depot1
69:drop hoist1 crate4 crate0 depot1
70:drop hoist1 crate4 crate1 depot1
71:drop hoist1 crate4 crate2 depot1
72:drop hoist1 crate4 crate3 depot1
73:drop hoist1 crate4 pallet1 depot1
74:drop hoist2 crate0 crate1 distributor0
75:drop hoist2 crate0 crate2 distributor0
76:drop hoist2 crate0 crate3 distributor0
77:drop hoist2 crate0 crate4 distributor0
78:drop hoist2 crate0 pallet2 distributor0
79:drop hoist2 crate1 crate0 distributor0
80:drop hoist2 crate1 crate2 distributor0
81:drop hoist2 crate1 crate3 distributor0
82:drop hoist2 crate1 crate4 distributor0
83:drop hoist2 crate1 pallet2 distributor0
84:drop hoist2 crate2 crate0 distributor0
85:drop hoist2 crate2 crate1 distributor0
86:drop hoist2 crate2 crate3 distributor0
87:drop hoist2 crate2 crate4 distributor0
88:drop hoist2 crate2 pallet2 distributor0
89:drop hoist2 crate3 crate0 distributor0
90:drop hoist2 crate3 crate1 distributor0
91:drop hoist2 crate3 crate2 distributor0
92:drop hoist2 crate3 crate4 distributor0
93:drop hoist2 crate3 pallet2 distributor0
94:drop hoist2 crate4 crate0 distributor0
95:drop hoist2 crate4 crate1 distributor0
96:drop hoist2 crate4 crate2 distributor0
97:drop hoist2 crate4 crate3 distributor0
98:drop hoist2 crate4 pallet2 distributor0
99:drop hoist3 crate0 crate1 distributor1
100:drop hoist3 crate0 crate2 distributor1
101:drop hoist3 crate0 crate3 distributor1
102:drop hoist3 crate0 crate4 distributor1
