index,is_in_good_operators
0,False
1,True
2,True
3,False
4,True
5,True
6,True
7,True
8,True
9,True
10,True
11,False
12,True
13,True
14,False
15,False
16,False
17,False
18,False
19,False
20,False
21,False
22,False
23,False
24,False
25,False
26,False
27,False
28,False
29,False
30,False
31,True
32,True
33,True
34,True
35,True
36,False
37,True
38,False
39,True
40,True
41,True
42,True
43,True
44,False
45,False
46,False
47,False
48,False
49,False
50,False
51,False
52,False
53,False
54,False
55,False
56,False
57,False
58,False
59,True
60,False
61,False
62,True
63,False
64,False
65,True
66,False
67,True
68,False
69,False
70,False
71,True
72,False
73,False
74,False
75,False
76,False
77,True
78,False
79,True
80,False
81,False
82,False
83,False
84,False
85,False
86,False
87,False
88,False
89,False
90,False
91,False
92,False
93,False
94,False
95,False
96,False
97,False
98,False
99,False
100,False
101,False
102,False
103,False
104,False
105,False
106,False
107,False
108,False
109,False
110,True
111,False
112,False
113,True
114,False
115,True
116,False
117,True
118,False
119,False
120,True
121,False
122,True
123,False
124,True
125,False
126,False
127,True
128,False
129,True
130,True
131,False
132,False
133,True
134,False
135,True
136,False
137,False
138,True
139,False
140,False
141,True
142,False
143,True
144,False
145,False
146,False
147,False
148,False
149,False
150,False
151,False
152,True
153,False
154,False
155,True
156,False
157,True
158,True
159,False
160,False
161,True
162,False
163,True
164,False
165,False
166,False
167,False
168,False
169,False
170,False
171,False
172,False
173,False
174,False
175,False
176,False
177,False
178,False
179,False
180,False
181,False
182,True
183,False
184,True
185,False
186,True
187,False
188,True
189,False
190,True
191,False
192,True
193,True
194,False
195,True
196,False
197,False
198,True
199,False
200,True
201,False
202,False
203,False
204,False
205,False
206,True
207,False
208,True
209,True
210,False
211,True
212,False
213,False
214,False
215,False
216,False
217,False
218,False
219,False
220,False
221,False
222,False
223,False
224,False
225,False
226,False
227,False
228,False
229,False
230,False
231,False
232,False
233,False
234,False
235,False
236,False
237,False
238,False
239,False
240,False
241,False
242,True
243,False
244,True
245,False
246,True
247,False
248,False
249,True
250,False
251,True
252,False
253,True
254,False
255,False
256,True
257,False
258,True
259,False
260,True
261,False
262,True
263,False
264,True
265,False
266,True
267,False
268,False
269,False
270,True
271,False
272,True
273,False
274,True
275,False
276,False
277,False
278,False
279,False
280,False
281,False
282,False
283,False
284,True
285,False
286,True
287,False
288,True
289,False
290,True
291,False
292,True
293,False
294,True
295,False
296,False
297,False
298,False
299,False
300,False
301,False
302,False
303,False
304,False
305,False
306,False
307,False
308,False
309,False
310,False
311,False
312,False
313,False
314,False
315,False
316,False
317,False
318,True
319,False
320,True
321,False
322,False
323,True
324,False
325,True
326,False
327,False
328,True
329,False
330,True
331,False
332,True
333,False
334,True
335,False
336,False
337,False
338,True
339,False
340,True
341,False
342,False
343,False
344,False
345,False
346,False
347,False
348,True
349,False
350,True
351,False
352,True
353,False
354,True
355,False
356,False
357,False
358,False
359,False
360,False
361,False
362,False
363,False
364,False
365,False
366,False
367,False
368,False
369,False
370,False
371,False
372,False
373,False
374,False
375,False
376,False
377,False
378,False
379,False
380,False
381,False
382,False
383,False
384,False
385,False
386,False
387,False
388,False
389,False
390,True
391,False
392,False
393,False
394,False
395,False
396,False
397,False
398,False
399,False
400,False
401,False
402,False
403,False
404,True
405,True
406,True
407,True
408,True
409,False
410,True
411,True
412,False
413,False
414,False
415,True
416,True
417,True
418,True
419,True
420,False
421,True
422,True
423,False
424,False
425,False
426,True
427,True
428,True
429,True
430,True
431,False
432,True
433,True
434,False
435,False
436,False
437,True
438,True
439,True
440,True
441,True
442,False
443,True
444,True
445,False
446,False
447,False
448,True
449,True
450,True
451,True
452,True
453,False
454,True
455,True
456,False
457,False
458,False
459,False
460,False
461,False
462,False
463,False
464,False
465,False
466,False
467,False
468,False
469,False
470,True
471,True
472,True
473,True
474,True
475,True
476,False
477,True
478,False
479,False
480,False
481,True
482,True
483,True
484,True
485,True
486,True
487,False
488,True
489,False
490,False
491,False
492,False
493,False
494,False
495,False
496,False
497,False
498,False
499,False
500,False
501,True
502,False
503,False
504,False
505,False
506,False
507,False
508,False
509,False
510,False
511,False
512,False
513,False
514,False
515,False
516,False
517,False
518,False
519,False
520,False
521,False
522,False
523,False
524,True
525,False
526,False
527,False
528,False
529,False
530,False
531,False
532,False
533,False
534,True
535,False
536,True
537,True
538,True
539,True
540,True
