0:calibrate satellite0 instrument0 groundstation2
1:calibrate satellite0 instrument0 groundstation3
2:calibrate satellite1 instrument1 groundstation0
3:calibrate satellite1 instrument1 star4
4:switch_off instrument0 satellite0
5:switch_off instrument1 satellite1
6:switch_on instrument0 satellite0
7:switch_on instrument1 satellite1
8:take_image satellite0 groundstation0 instrument0 infrared1
9:take_image satellite0 groundstation0 instrument0 thermograph0
10:take_image satellite0 groundstation1 instrument0 infrared1
11:take_image satellite0 groundstation1 instrument0 thermograph0
12:take_image satellite0 groundstation2 instrument0 infrared1
13:take_image satellite0 groundstation2 instrument0 thermograph0
14:take_image satellite0 groundstation3 instrument0 infrared1
15:take_image satellite0 groundstation3 instrument0 thermograph0
16:take_image satellite0 groundstation5 instrument0 infrared1
17:take_image satellite0 groundstation5 instrument0 thermograph0
18:take_image satellite0 groundstation6 instrument0 infrared1
19:take_image satellite0 groundstation6 instrument0 thermograph0
20:take_image satellite0 phenomenon10 instrument0 infrared1
21:take_image satellite0 phenomenon10 instrument0 thermograph0
22:take_image satellite0 phenomenon11 instrument0 infrared1
23:take_image satellite0 phenomenon11 instrument0 thermograph0
24:take_image satellite0 phenomenon12 instrument0 infrared1
25:take_image satellite0 phenomenon12 instrument0 thermograph0
26:take_image satellite0 phenomenon8 instrument0 infrared1
27:take_image satellite0 phenomenon8 instrument0 thermograph0
28:take_image satellite0 phenomenon9 instrument0 infrared1
29:take_image satellite0 phenomenon9 instrument0 thermograph0
30:take_image satellite0 planet13 instrument0 infrared1
31:take_image satellite0 planet13 instrument0 thermograph0
32:take_image satellite0 planet7 instrument0 infrared1
33:take_image satellite0 planet7 instrument0 thermograph0
34:take_image satellite0 star4 instrument0 infrared1
35:take_image satellite0 star4 instrument0 thermograph0
36:take_image satellite1 groundstation0 instrument1 thermograph0
37:take_image satellite1 groundstation1 instrument1 thermograph0
38:take_image satellite1 groundstation2 instrument1 thermograph0
39:take_image satellite1 groundstation3 instrument1 thermograph0
40:take_image satellite1 groundstation5 instrument1 thermograph0
41:take_image satellite1 groundstation6 instrument1 thermograph0
42:take_image satellite1 phenomenon10 instrument1 thermograph0
43:take_image satellite1 phenomenon11 instrument1 thermograph0
44:take_image satellite1 phenomenon12 instrument1 thermograph0
45:take_image satellite1 phenomenon8 instrument1 thermograph0
46:take_image satellite1 phenomenon9 instrument1 thermograph0
47:take_image satellite1 planet13 instrument1 thermograph0
48:take_image satellite1 planet7 instrument1 thermograph0
49:take_image satellite1 star4 instrument1 thermograph0
50:turn_to satellite0 groundstation0 groundstation1
51:turn_to satellite0 groundstation0 groundstation2
52:turn_to satellite0 groundstation0 groundstation3
53:turn_to satellite0 groundstation0 groundstation5
54:turn_to satellite0 groundstation0 groundstation6
55:turn_to satellite0 groundstation0 phenomenon10
56:turn_to satellite0 groundstation0 phenomenon11
57:turn_to satellite0 groundstation0 phenomenon12
58:turn_to satellite0 groundstation0 phenomenon8
59:turn_to satellite0 groundstation0 phenomenon9
60:turn_to satellite0 groundstation0 planet13
61:turn_to satellite0 groundstation0 planet7
62:turn_to satellite0 groundstation0 star4
63:turn_to satellite0 groundstation1 groundstation0
64:turn_to satellite0 groundstation1 groundstation2
65:turn_to satellite0 groundstation1 groundstation3
66:turn_to satellite0 groundstation1 groundstation5
67:turn_to satellite0 groundstation1 groundstation6
68:turn_to satellite0 groundstation1 phenomenon10
69:turn_to satellite0 groundstation1 phenomenon11
70:turn_to satellite0 groundstation1 phenomenon12
71:turn_to satellite0 groundstation1 phenomenon8
72:turn_to satellite0 groundstation1 phenomenon9
73:turn_to satellite0 groundstation1 planet13
74:turn_to satellite0 groundstation1 planet7
75:turn_to satellite0 groundstation1 star4
76:turn_to satellite0 groundstation2 groundstation0
77:turn_to satellite0 groundstation2 groundstation1
78:turn_to satellite0 groundstation2 groundstation3
79:turn_to satellite0 groundstation2 groundstation5
80:turn_to satellite0 groundstation2 groundstation6
81:turn_to satellite0 groundstation2 phenomenon10
82:turn_to satellite0 groundstation2 phenomenon11
83:turn_to satellite0 groundstation2 phenomenon12
84:turn_to satellite0 groundstation2 phenomenon8
85:turn_to satellite0 groundstation2 phenomenon9
86:turn_to satellite0 groundstation2 planet13
87:turn_to satellite0 groundstation2 planet7
88:turn_to satellite0 groundstation2 star4
89:turn_to satellite0 groundstation3 groundstation0
90:turn_to satellite0 groundstation3 groundstation1
91:turn_to satellite0 groundstation3 groundstation2
