0:drive truck0 depot0 distributor0
1:drive truck0 depot0 distributor1
2:drive truck0 distributor0 depot0
3:drive truck0 distributor0 distributor1
4:drive truck0 distributor1 depot0
5:drive truck0 distributor1 distributor0
6:drive truck1 depot0 distributor0
7:drive truck1 depot0 distributor1
8:drive truck1 distributor0 depot0
9:drive truck1 distributor0 distributor1
10:drive truck1 distributor1 depot0
11:drive truck1 distributor1 distributor0
12:drive truck2 depot0 distributor0
13:drive truck2 depot0 distributor1
14:drive truck2 distributor0 depot0
15:drive truck2 distributor0 distributor1
16:drive truck2 distributor1 depot0
17:drive truck2 distributor1 distributor0
18:drop hoist0 crate0 crate1 depot0
19:drop hoist0 crate0 crate2 depot0
20:drop hoist0 crate0 crate3 depot0
21:drop hoist0 crate0 crate4 depot0
22:drop hoist0 crate0 pallet0 depot0
23:drop hoist0 crate1 crate0 depot0
24:drop hoist0 crate1 crate2 depot0
25:drop hoist0 crate1 crate3 depot0
26:drop hoist0 crate1 crate4 depot0
27:drop hoist0 crate1 pallet0 depot0
28:drop hoist0 crate2 crate0 depot0
29:drop hoist0 crate2 crate1 depot0
30:drop hoist0 crate2 crate3 depot0
31:drop hoist0 crate2 crate4 depot0
32:drop hoist0 crate2 pallet0 depot0
33:drop hoist0 crate3 crate0 depot0
34:drop hoist0 crate3 crate1 depot0
35:drop hoist0 crate3 crate2 depot0
36:drop hoist0 crate3 crate4 depot0
37:drop hoist0 crate3 pallet0 depot0
38:drop hoist0 crate4 crate0 depot0
39:drop hoist0 crate4 crate1 depot0
40:drop hoist0 crate4 crate2 depot0
41:drop hoist0 crate4 crate3 depot0
42:drop hoist0 crate4 pallet0 depot0
43:drop hoist1 crate0 crate1 distributor0
44:drop hoist1 crate0 crate2 distributor0
45:drop hoist1 crate0 crate3 distributor0
46:drop hoist1 crate0 crate4 distributor0
47:drop hoist1 crate0 pallet1 distributor0
48:drop hoist1 crate1 crate0 distributor0
49:drop hoist1 crate1 crate2 distributor0
50:drop hoist1 crate1 crate3 distributor0
51:drop hoist1 crate1 crate4 distributor0
52:drop hoist1 crate1 pallet1 distributor0
53:drop hoist1 crate2 crate0 distributor0
54:drop hoist1 crate2 crate1 distributor0
55:drop hoist1 crate2 crate3 distributor0
56:drop hoist1 crate2 crate4 distributor0
57:drop hoist1 crate2 pallet1 distributor0
58:drop hoist1 crate3 crate0 distributor0
59:drop hoist1 crate3 crate1 distributor0
60:drop hoist1 crate3 crate2 distributor0
61:drop hoist1 crate3 crate4 distributor0
62:drop hoist1 crate3 pallet1 distributor0
63:drop hoist1 crate4 crate0 distributor0
64:drop hoist1 crate4 crate1 distributor0
65:drop hoist1 crate4 crate2 distributor0
66:drop hoist1 crate4 crate3 distributor0
67:drop hoist1 crate4 pallet1 distributor0
68:drop hoist2 crate0 crate1 distributor1
69:drop hoist2 crate0 crate2 distributor1
70:drop hoist2 crate0 crate3 distributor1
71:drop hoist2 crate0 crate4 distributor1
72:drop hoist2 crate0 pallet2 distributor1
73:drop hoist2 crate1 crate0 distributor1
74:drop hoist2 crate1 crate2 distributor1
75:drop hoist2 crate1 crate3 distributor1
76:drop hoist2 crate1 crate4 distributor1
77:drop hoist2 crate1 pallet2 distributor1
78:drop hoist2 crate2 crate0 distributor1
79:drop hoist2 crate2 crate1 distributor1
80:drop hoist2 crate2 crate3 distributor1
