0:drive truck0 depot0 depot1
1:drive truck0 depot0 distributor0
2:drive truck0 depot0 distributor1
3:drive truck0 depot1 depot0
4:drive truck0 depot1 distributor0
5:drive truck0 depot1 distributor1
6:drive truck0 distributor0 depot0
7:drive truck0 distributor0 depot1
8:drive truck0 distributor0 distributor1
9:drive truck0 distributor1 depot0
10:drive truck0 distributor1 depot1
11:drive truck0 distributor1 distributor0
12:drive truck1 depot0 depot1
13:drive truck1 depot0 distributor0
14:drive truck1 depot0 distributor1
15:drive truck1 depot1 depot0
16:drive truck1 depot1 distributor0
17:drive truck1 depot1 distributor1
18:drive truck1 distributor0 depot0
19:drive truck1 distributor0 depot1
20:drive truck1 distributor0 distributor1
21:drive truck1 distributor1 depot0
22:drive truck1 distributor1 depot1
23:drive truck1 distributor1 distributor0
24:drop hoist0 crate0 crate1 depot0
25:drop hoist0 crate0 crate2 depot0
26:drop hoist0 crate0 crate3 depot0
27:drop hoist0 crate0 pallet0 depot0
28:drop hoist0 crate1 crate0 depot0
29:drop hoist0 crate1 crate2 depot0
30:drop hoist0 crate1 crate3 depot0
31:drop hoist0 crate1 pallet0 depot0
32:drop hoist0 crate2 crate0 depot0
33:drop hoist0 crate2 crate1 depot0
34:drop hoist0 crate2 crate3 depot0
35:drop hoist0 crate2 pallet0 depot0
36:drop hoist0 crate3 crate0 depot0
37:drop hoist0 crate3 crate1 depot0
38:drop hoist0 crate3 crate2 depot0
39:drop hoist0 crate3 pallet0 depot0
40:drop hoist1 crate0 crate1 depot1
41:drop hoist1 crate0 crate2 depot1
42:drop hoist1 crate0 crate3 depot1
43:drop hoist1 crate0 pallet1 depot1
44:drop hoist1 crate1 crate0 depot1
45:drop hoist1 crate1 crate2 depot1
46:drop hoist1 crate1 crate3 depot1
47:drop hoist1 crate1 pallet1 depot1
48:drop hoist1 crate2 crate0 depot1
49:drop hoist1 crate2 crate1 depot1
50:drop hoist1 crate2 crate3 depot1
51:drop hoist1 crate2 pallet1 depot1
52:drop hoist1 crate3 crate0 depot1
53:drop hoist1 crate3 crate1 depot1
54:drop hoist1 crate3 crate2 depot1
55:drop hoist1 crate3 pallet1 depot1
56:drop hoist2 crate0 crate1 distributor0
57:drop hoist2 crate0 crate2 distributor0
58:drop hoist2 crate0 crate3 distributor0
59:drop hoist2 crate0 pallet2 distributor0
60:drop hoist2 crate1 crate0 distributor0
61:drop hoist2 crate1 crate2 distributor0
62:drop hoist2 crate1 crate3 distributor0
63:drop hoist2 crate1 pallet2 distributor0
64:drop hoist2 crate2 crate0 distributor0
65:drop hoist2 crate2 crate1 distributor0
66:drop hoist2 crate2 crate3 distributor0
67:drop hoist2 crate2 pallet2 distributor0
68:drop hoist2 crate3 crate0 distributor0
69:drop hoist2 crate3 crate1 distributor0
70:drop hoist2 crate3 crate2 distributor0
71:drop hoist2 crate3 pallet2 distributor0
72:drop hoist3 crate0 crate1 distributor1
73:drop hoist3 crate0 crate2 distributor1
74:drop hoist3 crate0 crate3 distributor1
75:drop hoist3 crate0 pallet3 distributor1
76:drop hoist3 crate1 crate0 distributor1
77:drop hoist3 crate1 crate2 distributor1
78:drop hoist3 crate1 crate3 distributor1
79:drop hoist3 crate1 pallet3 distributor1
80:drop hoist3 crate2 crate0 distributor1
81:drop hoist3 crate2 crate1 distributor1
82:drop hoist3 crate2 crate3 distributor1
83:drop hoist3 crate2 pallet3 distributor1
84:drop hoist3 crate3 crate0 distributor1
85:drop hoist3 crate3 crate1 distributor1
86:drop hoist3 crate3 crate2 distributor1
87:drop hoist3 crate3 pallet3 distributor1
88:lift hoist0 crate0 crate1 depot0
89:lift hoist0 crate0 crate2 depot0
90:lift hoist0 crate0 crate3 depot0
91:lift hoist0 crate0 pallet0 depot0
92:lift hoist0 crate0 pallet1 depot0
93:lift hoist0 crate0 pallet2 depot0
94:lift hoist0 crate0 pallet3 depot0
95:lift hoist0 crate1 crate0 depot0
96:lift hoist0 crate1 crate2 depot0
97:lift hoist0 crate1 crate3 depot0
98:lift hoist0 crate1 pallet0 depot0
99:lift hoist0 crate1 pallet1 depot0
100:lift hoist0 crate1 pallet2 depot0
101:lift hoist0 crate1 pallet3 depot0
