0:drive truck0 depot0 depot1
1:drive truck0 depot0 distributor0
2:drive truck0 depot1 depot0
3:drive truck0 depot1 distributor0
4:drive truck0 distributor0 depot0
5:drive truck0 distributor0 depot1
6:drive truck1 depot0 depot1
7:drive truck1 depot0 distributor0
8:drive truck1 depot1 depot0
9:drive truck1 depot1 distributor0
10:drive truck1 distributor0 depot0
11:drive truck1 distributor0 depot1
12:drive truck2 depot0 depot1
13:drive truck2 depot0 distributor0
14:drive truck2 depot1 depot0
15:drive truck2 depot1 distributor0
16:drive truck2 distributor0 depot0
17:drive truck2 distributor0 depot1
18:drop hoist0 crate0 crate1 depot0
19:drop hoist0 crate0 crate2 depot0
20:drop hoist0 crate0 pallet0 depot0
21:drop hoist0 crate1 crate0 depot0
22:drop hoist0 crate1 crate2 depot0
23:drop hoist0 crate1 pallet0 depot0
24:drop hoist0 crate2 crate0 depot0
25:drop hoist0 crate2 crate1 depot0
26:drop hoist0 crate2 pallet0 depot0
27:drop hoist1 crate0 crate1 depot1
28:drop hoist1 crate0 crate2 depot1
29:drop hoist1 crate0 pallet1 depot1
30:drop hoist1 crate1 crate0 depot1
31:drop hoist1 crate1 crate2 depot1
32:drop hoist1 crate1 pallet1 depot1
33:drop hoist1 crate2 crate0 depot1
34:drop hoist1 crate2 crate1 depot1
35:drop hoist1 crate2 pallet1 depot1
36:drop hoist2 crate0 crate1 distributor0
37:drop hoist2 crate0 crate2 distributor0
38:drop hoist2 crate0 pallet2 distributor0
39:drop hoist2 crate1 crate0 distributor0
40:drop hoist2 crate1 crate2 distributor0
41:drop hoist2 crate1 pallet2 distributor0
42:drop hoist2 crate2 crate0 distributor0
43:drop hoist2 crate2 crate1 distributor0
44:drop hoist2 crate2 pallet2 distributor0
45:lift hoist0 crate0 crate1 depot0
46:lift hoist0 crate0 crate2 depot0
47:lift hoist0 crate0 pallet0 depot0
48:lift hoist0 crate0 pallet1 depot0
49:lift hoist0 crate0 pallet2 depot0
50:lift hoist0 crate1 crate0 depot0
51:lift hoist0 crate1 crate2 depot0
52:lift hoist0 crate1 pallet0 depot0
53:lift hoist0 crate1 pallet1 depot0
54:lift hoist0 crate1 pallet2 depot0
55:lift hoist0 crate2 crate0 depot0
56:lift hoist0 crate2 crate1 depot0
57:lift hoist0 crate2 pallet0 depot0
58:lift hoist0 crate2 pallet1 depot0
59:lift hoist0 crate2 pallet2 depot0
60:lift hoist1 crate0 crate1 depot1
61:lift hoist1 crate0 crate2 depot1
62:lift hoist1 crate0 pallet0 depot1
63:lift hoist1 crate0 pallet1 depot1
64:lift hoist1 crate0 pallet2 depot1
65:lift hoist1 crate1 crate0 depot1
66:lift hoist1 crate1 crate2 depot1
67:lift hoist1 crate1 pallet0 depot1
68:lift hoist1 crate1 pallet1 depot1
69:lift hoist1 crate1 pallet2 depot1
70:lift hoist1 crate2 crate0 depot1
71:lift hoist1 crate2 crate1 depot1
72:lift hoist1 crate2 pallet0 depot1
73:lift hoist1 crate2 pallet1 depot1
74:lift hoist1 crate2 pallet2 depot1
75:lift hoist2 crate0 crate1 distributor0
76:lift hoist2 crate0 crate2 distributor0
77:lift hoist2 crate0 pallet0 distributor0
78:lift hoist2 crate0 pallet1 distributor0
79:lift hoist2 crate0 pallet2 distributor0
80:lift hoist2 crate1 crate0 distributor0
81:lift hoist2 crate1 crate2 distributor0
