source,destination
10,43
43,110
17,58
64,151
27,77
34,92
2,11
37,97
24,72
41,106
44,111
62,147
31,86
3,15
4,23
15,53
48,120
1,8
14,51
32,87
21,66
42,107
22,67
55,134
11,46
0,0
3,17
39,101
28,80
46,116
49,121
12,47
18,60
35,94
53,130
9,42
56,135
19,61
63,150
0,2
3,19
5,25
60,144
16,56
26,75
33,90
8,36
54,131
17,57
23,70
6,29
51,125
4,20
40,104
58,140
1,5
61,145
24,71
30,84
2,13
8,38
47,118
65,154
10,44
31,85
38,100
4,22
59,141
1,7
45,114
9,39
66,155
11,45
29,81
62,148
3,16
7,32
46,115
4,24
52,128
15,54
1,9
18,59
36,95
25,74
53,129
9,41
22,68
63,149
43,109
3,18
50,124
7,34
13,50
60,143
0,4
16,55
34,91
2,10
5,27
33,89
8,35
57,138
20,64
23,69
41,105
6,28
40,103
58,139
64,152
27,78
30,83
2,12
48,119
37,98
8,37
47,117
65,153
21,65
54,132
6,30
38,99
55,133
44,112
51,126
4,21
1,6
28,79
61,146
2,14
45,113
14,52
32,88
35,93
42,108
7,31
52,127
59,142
0,1
39,102
25,73
49,122
12,48
9,40
66,156
29,82
50,123
7,33
13,49
56,136
19,62
0,3
5,26
36,96
57,137
20,63
26,76
