0,0,0
0,1,1
1,0,2
1,1,3
2,0,4
2,1,5
3,0,6
3,1,7
4,0,8
4,1,9
5,0,10
5,1,11
6,0,12
6,1,13
7,0,14
7,1,15
8,0,16
8,1,17
9,0,18
9,1,19
10,0,20
10,1,21
11,0,22
11,1,23
12,0,24
12,1,25
13,0,26
13,1,27
14,0,28
14,1,29
15,0,30
15,1,31
16,0,32
16,1,33
17,0,34
17,1,35
18,0,36
18,1,37
19,0,38
19,1,39
20,0,40
20,1,41
21,0,42
21,1,43
22,0,44
22,1,45
23,0,46
23,1,47
24,0,48
24,1,49
25,0,50
25,1,51
26,0,52
26,1,53
27,0,54
27,1,55
28,0,56
28,1,57
29,0,58
29,1,59
30,0,60
30,1,61
31,0,62
31,1,63
32,0,64
32,1,65
33,0,66
33,1,67
34,0,68
34,1,69
35,0,70
35,1,71
36,0,72
36,1,73
37,0,74
37,1,75
38,0,76
38,1,77
39,0,78
39,1,79
40,0,80
40,1,81
41,0,82
41,1,83
42,0,84
42,1,85
43,0,86
43,1,87
44,0,88
44,1,89
45,0,90
45,1,91
46,0,92
46,1,93
47,0,94
47,1,95
48,0,96
48,1,97
49,0,98
49,1,99
50,0,100
50,1,101
51,0,102
51,1,103
52,0,104
52,1,105
53,0,106
53,1,107
54,0,108
54,1,109
55,0,110
55,1,111
56,0,112
56,1,113
57,0,114
57,1,115
58,0,116
58,1,117
59,0,118
59,1,119
60,0,120
60,1,121
61,0,122
61,1,123
62,0,124
62,1,125
63,0,126
63,1,127
63,2,128
63,3,129
63,4,130
63,5,131
63,6,132
63,7,133
63,8,134
63,9,135
63,10,136
63,11,137
63,12,138
63,13,139
63,14,140
63,15,141
63,16,142
64,0,143
64,1,144
64,2,145
64,3,146
64,4,147
64,5,148
64,6,149
64,7,150
64,8,151
64,9,152
64,10,153
64,11,154
64,12,155
64,13,156
64,14,157
64,15,158
64,16,159
65,0,160
65,1,161
65,2,162
65,3,163
65,4,164
65,5,165
65,6,166
65,7,167
65,8,168
65,9,169
65,10,170
65,11,171
65,12,172
65,13,173
65,14,174
65,15,175
65,16,176
66,0,177
66,1,178
66,2,179
66,3,180
66,4,181
66,5,182
66,6,183
66,7,184
66,8,185
66,9,186
66,10,187
66,11,188
66,12,189
66,13,190
66,14,191
66,15,192
66,16,193
67,0,194
67,1,195
68,0,196
68,1,197
69,0,198
69,1,199
70,0,200
70,1,201
71,0,202
71,1,203
72,0,204
72,1,205
73,0,206
73,1,207
74,0,208
74,1,209
75,0,210
75,1,211
76,0,212
76,1,213
77,0,214
77,1,215
78,0,216
78,1,217
79,0,218
79,1,219
80,0,220
80,1,221
81,0,222
81,1,223
82,0,224
82,1,225
