0:calibrate satellite0 instrument0 groundstation0
1:calibrate satellite1 instrument1 groundstation0
2:calibrate satellite1 instrument1 star1
3:calibrate satellite2 instrument2 groundstation3
4:switch_off instrument0 satellite0
5:switch_off instrument1 satellite1
6:switch_off instrument2 satellite2
7:switch_on instrument0 satellite0
8:switch_on instrument1 satellite1
9:switch_on instrument2 satellite2
10:take_image satellite0 groundstation0 instrument0 image3
11:take_image satellite0 groundstation0 instrument0 infrared2
12:take_image satellite0 groundstation0 instrument0 spectrograph0
13:take_image satellite0 groundstation3 instrument0 image3
14:take_image satellite0 groundstation3 instrument0 infrared2
15:take_image satellite0 groundstation3 instrument0 spectrograph0
16:take_image satellite0 planet7 instrument0 image3
17:take_image satellite0 planet7 instrument0 infrared2
18:take_image satellite0 planet7 instrument0 spectrograph0
19:take_image satellite0 star1 instrument0 image3
20:take_image satellite0 star1 instrument0 infrared2
21:take_image satellite0 star1 instrument0 spectrograph0
22:take_image satellite0 star2 instrument0 image3
23:take_image satellite0 star2 instrument0 infrared2
24:take_image satellite0 star2 instrument0 spectrograph0
25:take_image satellite0 star4 instrument0 image3
26:take_image satellite0 star4 instrument0 infrared2
27:take_image satellite0 star4 instrument0 spectrograph0
28:take_image satellite0 star5 instrument0 image3
29:take_image satellite0 star5 instrument0 infrared2
30:take_image satellite0 star5 instrument0 spectrograph0
31:take_image satellite0 star6 instrument0 image3
32:take_image satellite0 star6 instrument0 infrared2
33:take_image satellite0 star6 instrument0 spectrograph0
34:take_image satellite1 groundstation0 instrument1 spectrograph4
35:take_image satellite1 groundstation3 instrument1 spectrograph4
36:take_image satellite1 planet7 instrument1 spectrograph4
37:take_image satellite1 star1 instrument1 spectrograph4
38:take_image satellite1 star2 instrument1 spectrograph4
39:take_image satellite1 star4 instrument1 spectrograph4
40:take_image satellite1 star5 instrument1 spectrograph4
41:take_image satellite1 star6 instrument1 spectrograph4
42:take_image satellite2 groundstation0 instrument2 image1
43:take_image satellite2 groundstation0 instrument2 spectrograph0
44:take_image satellite2 groundstation3 instrument2 image1
45:take_image satellite2 groundstation3 instrument2 spectrograph0
46:take_image satellite2 planet7 instrument2 image1
47:take_image satellite2 planet7 instrument2 spectrograph0
48:take_image satellite2 star1 instrument2 image1
49:take_image satellite2 star1 instrument2 spectrograph0
50:take_image satellite2 star2 instrument2 image1
51:take_image satellite2 star2 instrument2 spectrograph0
52:take_image satellite2 star4 instrument2 image1
53:take_image satellite2 star4 instrument2 spectrograph0
54:take_image satellite2 star5 instrument2 image1
55:take_image satellite2 star5 instrument2 spectrograph0
56:take_image satellite2 star6 instrument2 image1
