0:calibrate satellite0 instrument0 groundstation3
1:calibrate satellite0 instrument1 star2
2:calibrate satellite0 instrument2 star1
3:calibrate satellite0 instrument3 star1
4:calibrate satellite1 instrument4 star1
5:calibrate satellite1 instrument5 star1
6:calibrate satellite1 instrument6 star1
7:calibrate satellite2 instrument7 star2
8:switch_off instrument0 satellite0
9:switch_off instrument1 satellite0
10:switch_off instrument2 satellite0
11:switch_off instrument3 satellite0
12:switch_off instrument4 satellite1
13:switch_off instrument5 satellite1
14:switch_off instrument6 satellite1
15:switch_off instrument7 satellite2
16:switch_on instrument0 satellite0
17:switch_on instrument1 satellite0
18:switch_on instrument2 satellite0
19:switch_on instrument3 satellite0
20:switch_on instrument4 satellite1
21:switch_on instrument5 satellite1
22:switch_on instrument6 satellite1
23:switch_on instrument7 satellite2
24:take_image satellite0 groundstation0 instrument0 image1
25:take_image satellite0 groundstation0 instrument0 image3
26:take_image satellite0 groundstation0 instrument0 infrared2
27:take_image satellite0 groundstation0 instrument1 infrared2
28:take_image satellite0 groundstation0 instrument2 image1
29:take_image satellite0 groundstation0 instrument3 image1
30:take_image satellite0 groundstation0 instrument3 infrared2
31:take_image satellite0 groundstation0 instrument3 spectrograph0
32:take_image satellite0 groundstation3 instrument0 image1
33:take_image satellite0 groundstation3 instrument0 image3
34:take_image satellite0 groundstation3 instrument0 infrared2
35:take_image satellite0 groundstation3 instrument1 infrared2
36:take_image satellite0 groundstation3 instrument2 image1
37:take_image satellite0 groundstation3 instrument3 image1
38:take_image satellite0 groundstation3 instrument3 infrared2
39:take_image satellite0 groundstation3 instrument3 spectrograph0
40:take_image satellite0 groundstation4 instrument0 image1
41:take_image satellite0 groundstation4 instrument0 image3
42:take_image satellite0 groundstation4 instrument0 infrared2
43:take_image satellite0 groundstation4 instrument1 infrared2
44:take_image satellite0 groundstation4 instrument2 image1
45:take_image satellite0 groundstation4 instrument3 image1
46:take_image satellite0 groundstation4 instrument3 infrared2
47:take_image satellite0 groundstation4 instrument3 spectrograph0
48:take_image satellite0 phenomenon5 instrument0 image1
49:take_image satellite0 phenomenon5 instrument0 image3
50:take_image satellite0 phenomenon5 instrument0 infrared2
51:take_image satellite0 phenomenon5 instrument1 infrared2
52:take_image satellite0 phenomenon5 instrument2 image1
53:take_image satellite0 phenomenon5 instrument3 image1
54:take_image satellite0 phenomenon5 instrument3 infrared2
55:take_image satellite0 phenomenon5 instrument3 spectrograph0
56:take_image satellite0 planet7 instrument0 image1
57:take_image satellite0 planet7 instrument0 image3
58:take_image satellite0 planet7 instrument0 infrared2
59:take_image satellite0 planet7 instrument1 infrared2
60:take_image satellite0 planet7 instrument2 image1
61:take_image satellite0 planet7 instrument3 image1
62:take_image satellite0 planet7 instrument3 infrared2
63:take_image satellite0 planet7 instrument3 spectrograph0
64:take_image satellite0 star1 instrument0 image1
65:take_image satellite0 star1 instrument0 image3
66:take_image satellite0 star1 instrument0 infrared2
67:take_image satellite0 star1 instrument1 infrared2
68:take_image satellite0 star1 instrument2 image1
69:take_image satellite0 star1 instrument3 image1
70:take_image satellite0 star1 instrument3 infrared2
71:take_image satellite0 star1 instrument3 spectrograph0
72:take_image satellite0 star2 instrument0 image1
73:take_image satellite0 star2 instrument0 image3
74:take_image satellite0 star2 instrument0 infrared2
75:take_image satellite0 star2 instrument1 infrared2
76:take_image satellite0 star2 instrument2 image1
77:take_image satellite0 star2 instrument3 image1
78:take_image satellite0 star2 instrument3 infrared2
79:take_image satellite0 star2 instrument3 spectrograph0
80:take_image satellite0 star6 instrument0 image1
81:take_image satellite0 star6 instrument0 image3
82:take_image satellite0 star6 instrument0 infrared2
83:take_image satellite0 star6 instrument1 infrared2
84:take_image satellite0 star6 instrument2 image1
85:take_image satellite0 star6 instrument3 image1
86:take_image satellite0 star6 instrument3 infrared2
87:take_image satellite0 star6 instrument3 spectrograph0
88:take_image satellite0 star8 instrument0 image1
89:take_image satellite0 star8 instrument0 image3
90:take_image satellite0 star8 instrument0 infrared2
91:take_image satellite0 star8 instrument1 infrared2
92:take_image satellite0 star8 instrument2 image1
93:take_image satellite0 star8 instrument3 image1
94:take_image satellite0 star8 instrument3 infrared2
95:take_image satellite0 star8 instrument3 spectrograph0
96:take_image satellite1 groundstation0 instrument4 image1
97:take_image satellite1 groundstation0 instrument4 infrared2
98:take_image satellite1 groundstation0 instrument5 image3
99:take_image satellite1 groundstation0 instrument5 infrared2
100:take_image satellite1 groundstation0 instrument5 spectrograph0
101:take_image satellite1 groundstation0 instrument6 infrared2
102:take_image satellite1 groundstation3 instrument4 image1
103:take_image satellite1 groundstation3 instrument4 infrared2
104:take_image satellite1 groundstation3 instrument5 image3
